id;name;description;reference;start_date;end_date;is_completed
1;New;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2023-05-08T14:48:07;2023-05-08T13:22:13;false
2;Optimized;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2023-05-08T17:24:25;2023-05-08T09:57:29;true
3;override;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2023-05-09T02:16:55;2023-05-09T07:30:15;false
4;intermediate;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2023-05-09T08:09:00;2023-05-09T02:57:24;false
5;bus Configurable sticky;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2023-05-09T07:40:42;2023-05-08T18:49:16;true
6;Checking Lead;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2023-05-09T07:10:42;2023-05-09T04:39:15;false
7;Cambridgeshire Chips Kansas;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2023-05-08T21:45:53;2023-05-08T17:14:56;true
8;Buckinghamshire Polarised;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2023-05-08T18:33:18;2023-05-08T21:49:37;true
9;matrix Forint;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2023-05-08T22:45:40;2023-05-08T14:39:09;false
10;B2C Loan;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2023-05-09T05:19:18;2023-05-09T00:27:05;false
