id;name;description;created_at;created_by;updated_at;updated_by
1;FTP;../fake-data/blob/hipster.txt;2023-05-08T16:55:51;99877;2023-05-08T10:09:53;82726
2;Loan workforce;../fake-data/blob/hipster.txt;2023-05-09T01:34:19;43173;2023-05-08T17:11:09;99546
3;USB grey indigo;../fake-data/blob/hipster.txt;2023-05-08T14:08:05;46219;2023-05-08T17:52:50;72606
4;Licensed Developer regional;../fake-data/blob/hipster.txt;2023-05-08T23:01:24;48070;2023-05-08T14:27:03;40320
5;Music;../fake-data/blob/hipster.txt;2023-05-08T16:27:13;9652;2023-05-09T05:26:57;8996
6;THX Namibia redundant;../fake-data/blob/hipster.txt;2023-05-08T17:35:33;31511;2023-05-08T13:27:18;36213
7;digital Bike Sausages;../fake-data/blob/hipster.txt;2023-05-09T05:21:30;28592;2023-05-09T08:02:21;834
8;Lead Handmade;../fake-data/blob/hipster.txt;2023-05-08T23:28:12;96006;2023-05-08T11:55:01;21194
9;Baby;../fake-data/blob/hipster.txt;2023-05-08T20:33:05;82154;2023-05-09T06:42:00;11408
10;Quality;../fake-data/blob/hipster.txt;2023-05-08T17:26:40;21256;2023-05-08T09:37:02;87046
