id;template_name;created_at;created_by;company_id
1;content;2023-05-09T01:28:31;95521;1
2;capacitor;2023-05-09T07:40:55;44126;2
3;hacking hard;2023-05-08T11:19:26;9038;3
4;bandwidth rich;2023-05-08T18:18:03;33607;4
5;Mobility Credit data-warehouse;2023-05-08T22:30:08;5501;5
6;Home calculating Wooden;2023-05-09T00:45:18;55235;6
7;Cotton HDD envisioneer;2023-05-08T15:51:58;51260;7
8;orange Inlet hacking;2023-05-09T05:41:00;32804;8
9;Implemented;2023-05-09T02:46:00;77116;9
10;Dynamic quantify Pants;2023-05-08T11:26:13;50681;10
